Country,Policy,Year,Biomass,Catch,Profits,MSY
Country A,Business As Usual,2038,14689266.669137297,1056400.631375859,987357209.8595265,1620756.3508392859
Country A,Business As Usual,2039,14768978.903979909,1056284.1109607555,995031167.9618591,1620756.3508392859
Country A,Business As Usual,2040,14849751.661558323,1056534.7377574358,1000328256.4317032,1620756.3508392859
Country A,Business As Usual,2041,14931720.390858347,1056803.4047717697,1007593417.4453537,1620756.3508392859
Country A,Business As Usual,2042,15011817.193177765,1058075.0165326889,1013138689.8940394,1620756.3508392859
Country A,Business As Usual,2043,15092368.453986123,1059535.4636870306,1018206143.572489,1620756.3508392859
Country A,Business As Usual,2044,15173196.162453849,1061560.861299654,1020385493.7956606,1620756.3508392859
Country A,Business As Usual,2045,15252904.119250683,1064362.5481256815,1023346796.4012585,1620756.3508392859
Country A,Business As Usual,2046,15329776.053531699,1067093.400254934,1025861400.2106918,1620756.3508392859
Country A,Business As Usual,2047,15404674.85902973,1070292.708218806,1029004065.646158,1620756.3508392859
Country A,Business As Usual,2048,15477047.239405105,1073955.8969352376,1030927150.77641,1620756.3508392859
Country A,Business As Usual,2049,15546039.561509099,1077753.840043754,1032390050.6075128,1620756.3508392859
Country A,Business As Usual,2050,15612063.839262886,1081799.6705882866,1034332283.4596055,1620756.3508392859
Country A,Fmsy,2013,12113094.111205181,1692878.061406854,871676012.752546,1620756.3508392859
Country A,Fmsy,2014,11394213.561444776,1451351.8821234168,833731735.280044,1620756.3508392859
Country A,Fmsy,2015,11193500.014142362,1397423.669495939,819629251.9056922,1620756.3508392859
Country A,Fmsy,2016,11150124.789164316,1395387.665592195,843616974.9007751,1620756.3508392859
Country A,Fmsy,2017,11173171.604477901,1413804.8979206632,884010151.8375767,1620756.3508392859
Country A,Fmsy,2018,11223408.214057388,1439417.6370528922,927221064.546333,1620756.3508392859
Country A,Fmsy,2019,11279584.253037091,1465589.2019974946,966956102.5262051,1620756.3508392859
Country A,Fmsy,2020,11331025.79272843,1489134.7416026068,1000359567.3780972,1620756.3508392859
Country A,Fmsy,2021,11373328.17709028,1508816.0062167002,1025875558.1703504,1620756.3508392859
Country A,Fmsy,2022,11405663.258357171,1524475.8554918591,1039688784.0846432,1620756.3508392859
Country A,Fmsy,2023,11429113.04759392,1536502.2689850577,1039026427.2680197,1620756.3508392859
Country A,Fmsy,2024,11445484.677938316,1545495.8191309539,1039376871.6255969,1620756.3508392859
Country A,Fmsy,2025,11456716.750526777,1552086.5451306193,1048051410.8789289,1620756.3508392859
Country A,Fmsy,2026,11464555.975639468,1556843.2918046466,1051223145.2654883,1620756.3508392859
Country A,Fmsy,2027,11470436.656427627,1560239.936649359,1054097065.182549,1620756.3508392859
Country A,Fmsy,2028,11475465.976312576,1562651.9384224075,1054106536.404633,1620756.3508392859
Country A,Fmsy,2029,11480458.555952579,1564366.8486373422,1053852627.144868,1620756.3508392859
Country A,Fmsy,2030,11485994.031855356,1565599.8178569593,1052007612.5483396,1620756.3508392859
Country A,Fmsy,2031,11492439.665965334,1566507.734246786,1050410677.1599085,1620756.3508392859
Country A,Fmsy,2032,11500165.703619195,1567208.7142167632,1047848353.3358968,1620756.3508392859
Country A,Fmsy,2033,11509876.816850303,1567802.0553593675,1045379394.05468,1620756.3508392859
Country A,Fmsy,2034,11520865.297626069,1568319.8561044899,1042467111.9722766,1620756.3508392859
Country A,Fmsy,2035,11533146.815368824,1568801.6765866356,1039600149.758069,1620756.3508392859
Country A,Fmsy,2036,11546699.76502713,1569274.3778449127,1036539125.2342088,1620756.3508392859
Country A,Fmsy,2037,11561477.267899098,1569755.7292569096,1033620944.5291381,1620756.3508392859
Country A,Fmsy,2038,11577415.848329732,1570257.0403217906,1030608826.3382565,1620756.3508392859
Country A,Fmsy,2039,11594445.961370932,1570785.2448054494,1027692270.8884389,1620756.3508392859
Country A,Fmsy,2040,11612474.899431055,1571343.38317204,1025051734.5350634,1620756.3508392859
Country A,Fmsy,2041,11631432.897996422,1571933.3635853848,1022363814.6683843,1620756.3508392859
Country A,Fmsy,2042,11651232.193707775,1572554.879796011,1019691366.8172506,1620756.3508392859
Country A,Fmsy,2043,11671790.196592921,1573206.8051018442,1017184732.5921683,1620756.3508392859
Country A,Fmsy,2044,11693026.136756515,1573887.3633590036,1014767792.6936839,1620756.3508392859
Country A,Fmsy,2045,11714861.745720677,1574594.3765085994,1012468316.1286991,1620756.3508392859
Country A,Fmsy,2046,11737221.69916941,1575325.4377318905,1010226259.3358024,1620756.3508392859
Country A,Fmsy,2047,11760033.891926588,1576078.0317188136,1008052498.1887393,1620756.3508392859
Country A,Fmsy,2048,11783232.688645422,1576849.7453586308,1005899640.7062185,1620756.3508392859
Country A,Fmsy,2049,11806743.532520672,1577637.6843498114,1004090586.0465982,1620756.3508392859
Country A,Fmsy,2050,11830513.896210348,1578439.790011233,1002203460.2762635,1620756.3508392859
Country A,Opt,2013,12113094.111205181,2175772.6827001963,1880383347.7673767,1620756.3508392859
Country A,Opt,2014,10917888.369228685,581484.2067351753,494825863.10774934,1620756.3508392859
Country A,Opt,2015,11675964.22277661,756458.687810145,644095965.7608045,1620756.3508392859
Country A,Opt,2016,12352073.1309242,974259.1675031165,840680189.495926,1620756.3508392859
