Country,Policy,Year,Biomass,Catch,Profits
Argentina,Fmsy,2048,5354255.600428041,1320426.3180813082,816895330.8001255
Argentina,Fmsy,2049,5386945.895293457,1321633.3497975038,815827996.3887699
Argentina,Fmsy,2050,5419380.590649536,1322830.836970138,814680742.0272847
Argentina,Opt,2013,4444010.2155031385,1919974.6964213823,1637201514.2009342
Argentina,Opt,2014,3278113.1887670956,343275.1146333187,267677740.9788168
Argentina,Opt,2015,4046098.3898599287,529502.9479439773,425904833.88537186
Argentina,Opt,2016,4719455.544137615,754668.0010869083,627803397.4175916
Argentina,Opt,2017,5209379.5518803485,912814.5452040216,787372911.3664235
Argentina,Opt,2018,5559859.408357495,1117622.4212228914,994500438.5133557
Argentina,Opt,2019,5698973.656436038,1200799.690277795,1078980780.72127
Argentina,Opt,2020,5751411.091132118,1207052.577836484,1085317869.9258196
Argentina,Opt,2021,5799916.500404992,1207208.165114772,1085462407.7159064
Argentina,Opt,2022,5851098.224672296,1207203.4111846318,1085456102.3413928
Argentina,Opt,2023,5905158.4580548275,1207228.6046408615,1085480233.3267062
Argentina,Opt,2024,5962079.418392558,1207227.3038950295,1085478758.2877767
Argentina,Opt,2025,6021891.4882364515,1207230.0928849578,1085481351.030953
Argentina,Opt,2026,6084578.345981397,1207230.0832957444,1085481244.7837932
Argentina,Opt,2027,6150117.466075929,1207232.325274879,1085482598.0789986
Argentina,Opt,2028,6218467.207105013,1207239.6219535584,1085486584.5739284
Argentina,Opt,2029,6289569.417660911,1207248.2667924997,1085491316.198747
Argentina,Opt,2030,6363355.932566107,1207258.2730818067,1085496777.711327
Argentina,Opt,2031,6439745.429036359,1207331.033566704,1085535320.252847
Argentina,Opt,2032,6518582.5301275235,1207416.3995587232,1085579941.1709015
Argentina,Opt,2033,6599748.170462347,1207519.074554092,1085633379.9145095
Argentina,Opt,2034,6683107.36417482,1207815.3871274528,1085783969.7728496
Argentina,Opt,2035,6768338.413668387,1208150.7879004148,1085953114.326069
Argentina,Opt,2036,6855260.862431578,1208627.3803474444,1086191304.0938694
Argentina,Opt,2037,6943584.596608009,1209423.0452892827,1086583152.7970803
Argentina,Opt,2038,7032833.553043405,1210301.2677136252,1087014610.3833587
Argentina,Opt,2039,7122759.380963012,1211632.3533393533,1087660574.7961884
Argentina,Opt,2040,7212741.549577041,1213270.1283237701,1088450750.3068354
Argentina,Opt,2041,7302300.799259879,1215080.0542012772,1089323450.9820035
Argentina,Opt,2042,7391093.2729234435,1217687.845021776,1090565457.1669917
Argentina,Opt,2043,7478154.3673766535,1220423.9558518438,1091869376.8773282
Argentina,Opt,2044,7563191.13841916,1223606.7842699564,1093380459.8056126
Argentina,Opt,2045,7645603.6844886085,1227368.765214106,1095156914.089565
Argentina,Opt,2046,7724670.548059923,1231180.2032381273,1096960162.2086034
Argentina,Opt,2047,7800212.832112385,1235439.8716861687,1098967989.6849484
Argentina,Opt,2048,7871669.198355107,1240053.452412979,1101136121.0366411
Argentina,Opt,2049,7938588.24566631,1244560.2991031255,1103258453.7415884
Argentina,Opt,2050,8000995.8975585215,1249009.5690930963,1105355953.341859
Australia,Business As Usual,2013,372678.04956207593,56255.95248513531,73290568.77985473
Australia,Business As Usual,2014,340659.986308357,29896.855458131373,51613447.141067304
Australia,Business As Usual,2015,338062.83263242804,25419.916596206847,80391812.08968471
Australia,Business As Usual,2016,340428.97571744875,23885.8811089315,83141915.34718573
Australia,Business As Usual,2017,344531.54058235703,23394.285627147252,86025945.98655118
Australia,Business As Usual,2018,349271.534448331,23218.31949850774,85817896.81096259
Australia,Business As Usual,2019,354313.5884061778,23232.416254045726,85977630.06125753
Australia,Business As Usual,2020,359448.3378128797,23382.436794033987,85721622.48466979
Australia,Business As Usual,2021,364516.7710090663,23595.21366681105,86501928.69448802
Australia,Business As Usual,2022,369431.5390021232,23927.643957257875,86665517.3309465
Australia,Business As Usual,2023,374049.9190712364,24302.57761395956,87358759.93257245
Australia,Business As Usual,2024,378310.7369567372,24701.992422867595,87765213.12182313
Australia,Business As Usual,2025,382176.64299541805,25078.51802333056,88936155.8075974
Australia,Business As Usual,2026,385662.6083858153,25448.96996624936,89545459.65830526
Australia,Business As Usual,2027,388770.34835802694,25773.35764245493,90584514.55754887
Australia,Business As Usual,2028,391544.029177519,26060.411826831678,91033524.21357653
Australia,Business As Usual,2029,394020.1512596781,26321.294510691103,91797647.1963405
Australia,Business As Usual,2030,396224.51692533266,26553.800351256963,92143341.46700107
Australia,Business As Usual,2031,398185.43178469513,26758.587923340445,92791963.5314429
Australia,Business As Usual,2032,399930.67499289406,26946.73389243893,93103247.67344022
Australia,Business As Usual,2033,401477.09000603954,27120.418061684875,93841425.93279028
Australia,Business As Usual,2034,402839.51760234445,27274.509752196434,94299978.46774168
Australia,Business As Usual,2035,404038.11202594655,27413.219103162086,95026136.20508501
Australia,Business As Usual,2036,405088.91753806744,27537.210465722157,95472099.84715603
Australia,Business As Usual,2037,406007.40444497444,27645.971025849976,96107469.54469536
Australia,Business As Usual,2038,406809.60507259273,27741.42636980909,96643631.03668751
Australia,Business As Usual,2039,407509.6292584429,27824.927213742292,97224228.71787688
Australia,Business As Usual,2040,408120.2161086825,27901.73745354735,97586066.69223428
